id,name,slug,parent_id,parent_name,count,depth
1294,אביזרים וחלקי חילוף לשואבי אבק סימנס,%d7%90%d7%91%d7%99%d7%96%d7%a8%d7%99%d7%9d-%d7%95%d7%97%d7%9c%d7%a7%d7%99-%d7%97%d7%99%d7%9c%d7%95%d7%a3-%d7%9c%d7%a9%d7%95%d7%90%d7%91%d7%99-%d7%90%d7%91%d7%a7-%d7%a1%d7%99%d7%9e%d7%a0%d7%a1,147,Siemens,0,1
158,אביזרים וחלקי חילוף לתנורים סימנס,%d7%aa%d7%a0%d7%95%d7%a8%d7%99%d7%9d-siemens,147,Siemens,165,1
1663,אביזרים חלפים וחלקי חילוף לתנור משולב כיריים סימנס,%d7%90%d7%91%d7%99%d7%96%d7%a8%d7%99%d7%9d-%d7%97%d7%9c%d7%a4%d7%99%d7%9d-%d7%95%d7%97%d7%9c%d7%a7%d7%99-%d7%97%d7%99%d7%9c%d7%95%d7%a3-%d7%9c%d7%aa%d7%a0%d7%95%d7%a8-%d7%9e%d7%a9%d7%95%d7%9c%d7%91-2,147,Siemens,86,1
182,ניקיון ותחזוקה למוצרי חשמל סימנס,%d7%a0%d7%99%d7%a7%d7%99%d7%95%d7%9f-%d7%95%d7%aa%d7%97%d7%96%d7%95%d7%a7%d7%94-siemens,147,Siemens,33,1
168,אביזרים וחלקי חילוף לכיריים קונסטרוקטה,%d7%9b%d7%99%d7%a8%d7%99%d7%99%d7%9d-constructa,148,Constructa,75,1
165,אביזרים וחלקי חילוף למדיחי כלים קונסטרוקטה,%d7%9e%d7%93%d7%99%d7%97%d7%99-%d7%9b%d7%9c%d7%99%d7%9d-constructa,148,Constructa,102,1
160,אביזרים וחלקי חילוף למייבשי כביסה קונסטרוקטה,%d7%9e%d7%99%d7%99%d7%91%d7%a9%d7%99-%d7%9b%d7%91%d7%99%d7%a1%d7%94-constructa,148,Constructa,99,1
161,אביזרים וחלקי חילוף למיקרוגלים קונסטרוקטה,%d7%9e%d7%99%d7%a7%d7%a8%d7%95%d7%92%d7%9c%d7%99%d7%9d,148,Constructa,4,1
154,אביזרים וחלקי חילוף למכונות כביסה קונסטרוקטה,%d7%9e%d7%9b%d7%95%d7%a0%d7%95%d7%aa-%d7%9b%d7%91%d7%99%d7%a1%d7%94-constructa,148,Constructa,163,1
171,אביזרים וחלקי חילוף לקולטי אדים קונסטרוקטה,%d7%a7%d7%95%d7%9c%d7%98%d7%99-%d7%90%d7%93%d7%99%d7%9d-constructa,148,Constructa,5,1
1297,אביזרים וחלקי חילוף לשואבי אבק קונסטרוקטה,%d7%90%d7%91%d7%99%d7%96%d7%a8%d7%99%d7%9d-%d7%95%d7%97%d7%9c%d7%a7%d7%99-%d7%97%d7%99%d7%9c%d7%95%d7%a3-%d7%9c%d7%a9%d7%95%d7%90%d7%91%d7%99-%d7%90%d7%91%d7%a7-%d7%a7%d7%95%d7%a0%d7%a1%d7%98%d7%a8,148,Constructa,0,1
157,אביזרים וחלקי חילוף לתנורים קונסטרוקטה,%d7%aa%d7%a0%d7%95%d7%a8%d7%99%d7%9d-constructa,148,Constructa,63,1
1670,אביזרים חלפים וחלקי חילוף לתנור משולב כיריים קונסטרוקטה,%d7%90%d7%91%d7%99%d7%96%d7%a8%d7%99%d7%9d-%d7%97%d7%9c%d7%a4%d7%99%d7%9d-%d7%95%d7%97%d7%9c%d7%a7%d7%99-%d7%97%d7%99%d7%9c%d7%95%d7%a3-%d7%9c%d7%aa%d7%a0%d7%95%d7%a8-%d7%9e%d7%a9%d7%95%d7%9c%d7%91-3,148,Constructa,74,1
181,ניקיון ותחזוקה למוצרי חשמל קונסטרוקטה,%d7%a0%d7%99%d7%a7%d7%99%d7%95%d7%9f-%d7%95%d7%aa%d7%97%d7%96%d7%95%d7%a7%d7%94-constructa,148,Constructa,31,1
1140,GIN81HNE0,gin81hne0,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2230,KAD62S21,kad62s21,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2320,KAD62S51,kad62s51,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2315,KAD92AI30,kad92ai30,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2314,KAD92SB30,kad92sb30,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2327,KAN58A50NE,kan58a50ne,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2229,KB96NADD0,kb96nadd0,149,אביזרים וחלקי חילוף למקררים בוש,1,2
1141,KBN96SDD0,kbn96sdd0,149,אביזרים וחלקי חילוף למקררים בוש,0,2
210,KDN53VL20,kdn53vl20,149,אביזרים וחלקי חילוף למקררים בוש,4,2
2321,KDN56VL20,kdn56vl20,149,אביזרים וחלקי חילוף למקררים בוש,3,2
211,KDN57V00IL,kdn57v00il,149,אביזרים וחלקי חילוף למקררים בוש,1,2
2311,KDN65VW2PL,kdn65vw2pl,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2231,KDN75VI3PL,kdn75vi3pl,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2318,KDN75VW3PL,kdn75vw3pl,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2227,KFF96PIEP,kff96piep,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2306,KFN96APEAL,kfn96apeal,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2313,KFN96AXEA,kfn96axea,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2228,KFN96VPEAL,kfn96vpeal,149,אביזרים וחלקי חילוף למקררים בוש,0,2
212,KGB86AIFP,kgb86aifp,149,אביזרים וחלקי חילוף למקררים בוש,15,2
213,KGN362IDF,kgn362idf,149,אביזרים וחלקי חילוף למקררים בוש,13,2
2224,KGN367IDQ,kgn367idq,149,אביזרים וחלקי חילוף למקררים בוש,1,2
1714,KGN36AI35,kgn36ai35,149,אביזרים וחלקי חילוף למקררים בוש,1,2
2223,KGN36IJ3A,kgn36ij3a,149,אביזרים וחלקי חילוף למקררים בוש,3,2
2219,KGN36IJEB,kgn36ijeb,149,אביזרים וחלקי חילוף למקררים בוש,14,2
2310,KGN36IZEA,kgn36izea,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2225,KGN36VXCT,kgn36vxct,149,אביזרים וחלקי חילוף למקררים בוש,10,2
214,KGN39EXCF,kgn39excf,149,אביזרים וחלקי חילוף למקררים בוש,10,2
2309,KGN39LBCF,kgn39lbcf,149,אביזרים וחלקי חילוף למקררים בוש,5,2
2317,KGN39VXCT,kgn39vxct,149,אביזרים וחלקי חילוף למקררים בוש,8,2
215,KGN49A91,kgn49a91,149,אביזרים וחלקי חילוף למקררים בוש,4,2
2325,KGN49LBCF,kgn49lbcf,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2324,KGN49VXCT,kgn49vxct,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2322,KGN57SM30U,kgn57sm30u,149,אביזרים וחלקי חילוף למקררים בוש,3,2
2319,KGN57SM34N,kgn57sm34n,149,אביזרים וחלקי חילוף למקררים בוש,6,2
2316,KGN57SW30U,kgn57sw30u,149,אביזרים וחלקי חילוף למקררים בוש,4,2
216,KGN57SW34N,kgn57sw34n,149,אביזרים וחלקי חילוף למקררים בוש,7,2
217,KGN57VL20,kgn57vl20,149,אביזרים וחלקי חילוף למקררים בוש,9,2
2308,KGN57X40IL,kgn57x40il,149,אביזרים וחלקי חילוף למקררים בוש,6,2
218,KGN57X40NE,kgn57x40ne,149,אביזרים וחלקי חילוף למקררים בוש,1,2
219,KGN57XL40L,kgn57xl40l,149,אביזרים וחלקי חילוף למקררים בוש,1,2
220,KGN76AI30L,kgn76ai30l,149,אביזרים וחלקי חילוף למקררים בוש,19,2
221,KGN76AI31L,kgn76ai31l,149,אביזרים וחלקי חילוף למקררים בוש,21,2
2307,KGN76AI4PL,kgn76ai4pl,149,אביזרים וחלקי חילוף למקררים בוש,14,2
2312,KGN76AXDR,kgn76axdr,149,אביזרים וחלקי חילוף למקררים בוש,14,2
222,KGN864IFA,kgn864ifa,149,אביזרים וחלקי חילוף למקררים בוש,18,2
2222,KGN86AI30L,kgn86ai30l,149,אביזרים וחלקי חילוף למקררים בוש,16,2
223,KGN86AI31L,kgn86ai31l,149,אביזרים וחלקי חילוף למקררים בוש,22,2
2226,KGN86AI4PL,kgn86ai4pl,149,אביזרים וחלקי חילוף למקררים בוש,15,2
224,KGN86AW30L,kgn86aw30l,149,אביזרים וחלקי חילוף למקררים בוש,20,2
225,KGN86AW31L,kgn86aw31l,149,אביזרים וחלקי חילוף למקררים בוש,21,2
2323,KGN86AW4PL,kgn86aw4pl,149,אביזרים וחלקי חילוף למקררים בוש,17,2
226,KGN86VIEA,kgn86viea,149,אביזרים וחלקי חילוף למקררים בוש,21,2
1716,KGU40621,kgu40621,149,אביזרים וחלקי חילוף למקררים בוש,0,2
2326,KGU40621NE,kgu40621ne,149,אביזרים וחלקי חילוף למקררים בוש,0,2
227,KGU40623NE,kgu40623ne,149,אביזרים וחלקי חילוף למקררים בוש,1,2
228,KGU6695,kgu6695,149,אביזרים וחלקי חילוף למקררים בוש,1,2
1142,KIF81HOD0,kif81hod0,149,אביזרים וחלקי חילוף למקררים בוש,0,2
