id,name,slug,parent_id,parent_name,count,depth
844,W1XX,w1xx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,4,2
269,W1XXX,w1xxx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,24,2
980,W2XX,w2xx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
258,W2XXX,w2xxx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,14,2
255,W3XX,w3xx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,6,2
259,W3XXX,w3xxx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,22,2
256,W4XX,w4xx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,5,2
271,W4XXX,w4xxx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,14,2
257,W5XX,w5xx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,6,2
260,W5XXX,w5xxx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,17,2
981,W6XX,w6xx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
270,W6XXX,w6xxx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,12,2
835,W7XX,w7xx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
577,W7XXX,w7xxx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
836,W8XX,w8xx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,4,2
578,W8XXX,w8xxx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
837,W9XX,w9xx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
1443,W9XXX,w9xxx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
845,WC,wc,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
763,WCA,wca,234,אביזרים וחלקי חילוף למכונות כביסה מילה,4,2
966,WCB,wcb,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
479,WCD,wcd,234,אביזרים וחלקי חילוף למכונות כביסה מילה,7,2
480,WCE,wce,234,אביזרים וחלקי חילוף למכונות כביסה מילה,6,2
2422,WCF,wcf,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
481,WCG,wcg,234,אביזרים וחלקי חילוף למכונות כביסה מילה,4,2
482,WCH,wch,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
478,WCI,wci,234,אביזרים וחלקי חילוף למכונות כביסה מילה,5,2
2423,WCJ,wcj,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2424,WCK,wck,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
764,WCR,wcr,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
1228,WCS,wcs,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
846,WD,wd,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
682,WDA,wda,234,אביזרים וחלקי חילוף למכונות כביסה מילה,8,2
261,WDAXXX,wdaxxx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,5,2
680,WDB,wdb,234,אביזרים וחלקי חילוף למכונות כביסה מילה,8,2
2454,WDC,wdc,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
681,WDD,wdd,234,אביזרים וחלקי חילוף למכונות כביסה מילה,9,2
847,WE,we,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
968,WEA,wea,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
969,WEB,web,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
1438,WED,wed,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
2425,WEE,wee,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2426,WEF,wef,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2427,WEG,weg,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
2428,WEH,weh,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2429,WEI,wei,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2430,WEJ,wej,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2431,WER,wer,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
848,WK,wk,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
2432,WKA,wka,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
411,WKB,wkb,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
2433,WKC,wkc,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2434,WKD,wkd,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2435,WKE,wke,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
804,WKF,wkf,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
412,WKG,wkg,234,אביזרים וחלקי חילוף למכונות כביסה מילה,4,2
803,WKH,wkh,234,אביזרים וחלקי חילוף למכונות כביסה מילה,3,2
2436,WKJ,wkj,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2437,WKK,wkk,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2438,WKL,wkl,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2439,WKM,wkm,234,אביזרים וחלקי חילוף למכונות כביסה מילה,0,2
788,WKR,wkr,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
2440,WKS,wks,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
849,WM,wm,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
415,WMB,wmb,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
2441,WMC,wmc,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
805,WMF,wmf,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
413,WMG,wmg,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
410,WMG120,wmg120,234,אביזרים וחלקי חילוף למכונות כביסה מילה,4,2
2442,WMH,wmh,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
416,WML,wml,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
2443,WMM,wmm,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2444,WMR,wmr,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
789,WMV,wmv,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
2445,WMX,wmx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
850,WS,ws,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
1439,WSA,wsa,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
1440,WSB,wsb,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
1441,WSD,wsd,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
2446,WSF,wsf,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2447,WSG,wsg,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2448,WSI,wsi,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
2449,WSR,wsr,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
851,WT,wt,234,אביזרים וחלקי חילוף למכונות כביסה מילה,2,2
262,WT2XXX,wt2xxx,234,אביזרים וחלקי חילוף למכונות כביסה מילה,4,2
2457,WTD,wtd,234,אביזרים וחלקי חילוף למכונות כביסה מילה,1,2
